N,P,K,pH,crop
90,42,43,6.502985292,rice
85,58,41,7.038096361,rice
60,55,44,7.840207144,rice
74,35,40,6.980400905,rice
78,42,42,7.628472891,rice
69,37,42,7.073453503,rice
69,55,38,5.70080568,rice
94,53,40,5.718627178,rice
89,54,38,6.685346424,rice
68,58,38,6.336253525,rice
91,53,40,5.386167788,rice
90,46,42,7.50283396,rice
78,58,44,5.108681786,rice
93,56,36,6.98435366,rice
94,50,37,6.94801983,rice
60,48,39,7.042299069,rice
85,38,41,6.249050656,rice
91,35,39,6.970859754,rice
77,38,36,5.953933276,rice
88,35,40,5.85393208,rice
89,45,36,6.442475375,rice
76,40,43,5.070175667,rice
67,59,41,6.012632591,rice
83,41,43,6.254028451,rice
98,47,37,7.375482851,rice
66,53,41,7.778915154,rice
97,59,43,6.286500176,rice
97,50,41,7.070959995,rice
60,49,44,6.244841491,rice
84,51,35,6.043304899,rice
73,57,41,5.824709117,rice
92,35,40,6.357389366,rice
85,37,39,6.364134968,rice
98,53,38,5.01450727,rice
88,54,44,6.149410611,rice
95,55,42,5.950660556,rice
99,57,35,5.960370061,rice
95,39,36,5.561398642,rice
60,43,44,7.416245107,rice
63,44,41,5.583370042,rice
62,42,36,6.430010215,rice
64,45,43,5.534878156,rice
83,60,36,6.903985986,rice
82,40,40,6.271478838,rice
85,52,45,7.224285503,rice
91,35,38,6.13428721,rice
76,49,42,5.206373153,rice
74,39,38,7.782051313,rice
79,43,39,7.062779015,rice
88,55,45,7.730367824,rice
60,36,43,5.286203711,rice
76,60,39,6.766240045,rice
93,56,42,7.382762603,rice
65,60,43,5.658169482,rice
95,52,36,5.543360238,rice
75,38,39,6.215109715,rice
74,54,38,7.120272972,rice
91,36,45,5.950647577,rice
71,46,40,7.236705436,rice
99,55,35,6.501697816,rice
72,40,38,7.592490617,rice
83,58,45,5.875345751,rice
93,58,38,6.932400225,rice
70,36,42,6.946209881,rice
76,47,42,5.739175027,rice
99,41,36,6.738652179,rice
99,54,37,5.594819626,rice
86,59,35,6.946636369,rice
69,46,41,5.012139669,rice
91,56,37,6.363472208,rice
61,52,41,6.880431223,rice
67,45,38,7.300410836,rice
79,42,37,6.587918708,rice
78,43,42,7.283736617,rice
75,54,36,7.023936392,rice
97,36,45,6.939083505,rice
67,47,44,7.868474653,rice
73,35,38,5.005306977,rice
77,36,37,6.136131869,rice
81,41,38,7.524080076,rice
68,57,43,5.706943251,rice
72,45,35,5.758506323,rice
61,53,43,6.349606327,rice
67,43,39,5.999969026,rice
67,58,39,5.453592032,rice
66,60,38,6.372576327,rice
82,43,38,5.105588355,rice
84,50,44,5.935344406,rice
81,53,42,5.17782304,rice
91,50,40,6.462391607,rice
93,53,38,7.069172227,rice
90,44,38,7.473134377,rice
81,45,35,6.158376967,rice
78,40,38,7.549873681,rice
60,51,36,6.028321558,rice
88,46,42,6.604993475,rice
93,47,37,6.500343222,rice
60,55,45,5.935745417,rice
78,35,44,7.072655622,rice
65,37,40,5.333322606,rice
71,54,16,5.749914421,maize
61,44,17,6.931756558,maize
80,43,16,6.657964753,maize
73,58,21,6.596060648,maize
61,38,20,5.970458434,maize
68,41,16,6.158830619,maize
93,41,17,6.047906679,maize
89,60,19,5.913664501,maize
76,44,17,5.855442401,maize
67,60,25,5.750254943,maize
70,44,19,5.852607099,maize
90,49,21,6.472523287,maize
62,52,16,6.967057762,maize
92,44,16,6.082973754,maize
66,54,21,5.919045532,maize
63,58,22,6.204747653,maize
70,47,17,6.600827017,maize
61,41,17,6.021902237,maize
66,53,19,6.033550195,maize
74,55,19,6.28886807,maize
77,57,21,6.550563823,maize
99,50,15,5.573286437,maize
74,56,22,6.829199275,maize
83,45,21,5.716222912,maize
100,48,16,5.54990242,maize
79,51,16,6.586244581,maize
94,39,18,5.893093135,maize
75,49,15,5.918263801,maize
78,48,22,5.588650585,maize
87,54,20,6.576418207,maize
87,35,25,6.178056304,maize
63,43,19,6.641906353,maize
84,57,25,6.489040367,maize
64,35,23,5.680361038,maize
60,46,22,6.625404348,maize
98,44,21,6.524478032,maize
75,56,18,5.696205468,maize
86,55,21,6.803931519,maize
98,35,18,6.252797548,maize
76,57,18,6.092725883,maize
99,56,17,6.234330356,maize
60,44,23,5.722579819,maize
74,48,17,6.430616465,maize
89,60,17,5.983952675,maize
69,51,23,6.80163854,maize
96,46,22,6.499936446,maize
61,60,15,6.265564338,maize
74,58,18,6.727303282,maize
74,43,23,6.325235159,maize
63,43,17,6.807487794,maize
99,36,20,6.671085817,maize
77,36,23,6.648725327,maize
87,60,23,6.439071996,maize
60,38,17,6.474476516,maize
94,54,17,5.871647806,maize
95,38,22,5.730617109,maize
84,44,21,5.850439831,maize
77,58,19,5.791649933,maize
66,44,20,6.740000688,maize
63,35,16,6.272417541,maize
79,45,20,5.715208817,maize
72,60,25,5.773454729,maize
67,51,24,5.584171461,maize
86,36,24,5.787268394,maize
76,48,18,5.77597783,maize
